date,Battery,
2024-12-03T09,139,347761
2024-12-03T10,150,347911
2024-12-03T11,65,347976
2024-12-03T12,415,348391
2024-12-03T13,1642,350033
2024-12-03T14,1426,351459
2024-12-03T15,320,351779
2024-12-03T16,199,351978
2024-12-03T17,211,352189
2024-12-03T18,94,352283
2024-12-03T19,124,352407
2024-12-03T20,-70,352337
2024-12-03T21,87,352424
2024-12-03T22,50,352474
2024-12-03T23,610,353084
2024-12-04T00,2057,355141
2024-12-04T01,1486,356627
2024-12-04T02,1035,357662
2024-12-04T03,936,358598
2024-12-04T04,766,359364
2024-12-04T05,698,360062
2024-12-04T06,342,360404
2024-12-04T07,103,360507
2024-12-04T08,233,360740
2024-12-04T09,65,360805
2024-12-04T10,33,360838
2024-12-04T11,106,360944
2024-12-04T12,321,361265
2024-12-04T13,1214,362479
2024-12-04T14,1223,363702
2024-12-04T15,737,364439
2024-12-04T16,348,364787
2024-12-04T17,274,365061
2024-12-04T18,92,365153
2024-12-04T19,65,365218
2024-12-04T20,37,365255
2024-12-04T21,-4,365251
2024-12-04T22,-12,365239
2024-12-04T23,883,366122
2024-12-05T00,3057,369179
2024-12-05T01,2786,371965
2024-12-05T02,1541,373506
2024-12-05T03,1159,374665
2024-12-05T04,959,375624
2024-12-05T05,975,376599
2024-12-05T06,736,377335
2024-12-05T07,343,377678
2024-12-05T08,131,377809
2024-12-05T09,259,378068
2024-12-05T10,90,378158
2024-12-05T11,-5,378153
2024-12-05T12,76,378229
2024-12-05T13,535,378764
2024-12-05T14,699,379463
2024-12-05T15,346,379809
2024-12-05T16,-17,379792
2024-12-05T17,-73,379719
2024-12-05T18,-61,379658
2024-12-05T19,-77,379581
2024-12-05T20,-13,379568
2024-12-05T21,29,379597
2024-12-05T22,373,379970
2024-12-05T23,572,380542
2024-12-06T00,1227,381769
2024-12-06T01,984,382753
2024-12-06T02,1093,383846
2024-12-06T03,566,384412
2024-12-06T04,447,384859
2024-12-06T05,237,385096
2024-12-06T06,108,385204
2024-12-06T07,22,385226
2024-12-06T08,-41,385185
2024-12-06T09,22,385207
2024-12-06T10,80,385287
2024-12-06T11,96,385383
2024-12-06T12,131,385514
2024-12-06T13,1331,386845
2024-12-06T14,1672,388517
2024-12-06T15,591,389108
2024-12-06T16,339,389447
2024-12-06T17,135,389582
2024-12-06T18,78,389660
2024-12-06T19,318,389978
2024-12-06T20,263,390241
2024-12-06T21,283,390524
2024-12-06T22,353,390877
2024-12-06T23,661,391538
2024-12-07T00,1321,392859
2024-12-07T01,1671,394530
2024-12-07T02,1157,395687
2024-12-07T03,746,396433
2024-12-07T04,583,397016
2024-12-07T05,360,397376
2024-12-07T06,485,397861
2024-12-07T07,387,398248
2024-12-07T08,107,398355
2024-12-07T09,127,398482
2024-12-07T10,111,398593
2024-12-07T11,168,398761
2024-12-07T12,94,398855
2024-12-07T13,708,399563
2024-12-07T14,595,400158
2024-12-07T15,411,400569
2024-12-07T16,430,400999
2024-12-07T17,234,401233
2024-12-07T18,97,401330
2024-12-07T19,111,401441
2024-12-07T20,178,401619
2024-12-07T21,430,402049
2024-12-07T22,697,402746
2024-12-07T23,839,403585
2024-12-08T00,2368,405953
2024-12-08T01,2036,407989
2024-12-08T02,858,408847
2024-12-08T03,774,409621
2024-12-08T04,692,410313
2024-12-08T05,776,411089
2024-12-08T06,555,411644
2024-12-08T07,400,412044
2024-12-08T08,221,412265
2024-12-08T09,57,412322
2024-12-08T10,193,412515
2024-12-08T11,117,412632
2024-12-08T12,284,412916
2024-12-08T13,863,413779
2024-12-08T14,750,414529
2024-12-08T15,275,414804
2024-12-08T16,225,415029
2024-12-08T17,96,415125
